BITCOIN;ETHEREUM;CARDANO;DECENTRALAND;MONERO
9534.76;211.23;0.06;0.04;78.27
9510.59;210.82;0.06;0.04;78.17
9568.44;209.65;0.06;0.04;80.8
10063;218.61;0.06;0.04;81.39
10361.31;216.63;0.06;0.04;83.81
10529.17;217.8;0.06;0.04;87.78
10791.2;221.42;0.06;0.04;88.02
10951.59;221.99;0.06;0.04;93.84
11818.53;232.82;0.06;0.04;89.64
11510.16;227.02;0.05;0.04;97.43
11970.66;226.4;0.05;0.04;95.16
12024.33;222;0.05;0.04;92.81
11852.56;210.15;0.05;0.04;90.54
11327.84;206.5;0.05;0.04;92.36
11550;216.49;0.06;0.04;91.06
11381.24;211.11;0.05;0.04;85.62
10903.65;209.27;0.05;0.04;78.2
10016.22;185.66;0.05;0.04;82.82
10295.88;188.15;0.05;0.04;82.24
10324.99;185.15;0.05;0.04;82.13
10224.22;185.76;0.05;0.04;87.7
10309.87;194.36;0.05;0.04;89.98
10895.97;202.96;0.05;0.03;85.59
10743.79;196.27;0.05;0.04;80.76
10124.06;187.02;0.05;0.04;82.08
10127.79;191.52;0.05;0.04;81.88
10385.51;194.21;0.05;0.04;80.43
10145.01;190.56;0.05;0.04;80.24
10090.06;186.32;0.05;0.04;79.36
10334.91;188.38;0.05;0.03;78.16
10167.89;186.97;0.05;0.03;72.33
9753.49;173.03;0.05;0.03;67.29
9485.14;168.8;0.04;0.03;68.19
9588.99;168.67;0.04;0.03;67.42
9607.29;172.07;0.04;0.03;70.96
9729.27;170.73;0.04;0.03;72.97
10323.02;177.72;0.05;0.03;74.87
10620.17;178.83;0.05;0.03;73.74
10573.52;174.78;0.05;0.03;75.75
10570.25;174.19;0.04;0.03;75.4
10350.75;169.42;0.04;0.03;78.01
10461.55;177.85;0.05;0.03;76.99
10404.33;181.48;0.05;0.03;74.96
10321.93;181.01;0.05;0.03;72.22
10121.1;180.15;0.05;0.03;74.15
10150.71;178.08;0.04;0.03;74.99
10401.32;181.01;0.05;0.03;76.77
10355.63;181.21;0.05;0.03;75.93
10349.55;188.31;0.05;0.03;75.42
10305.68;189.26;0.05;0.04;75.34
10268.42;197.61;0.05;0.04;74.14
10203.07;209.21;0.05;0.04;81.08
10158.85;210.25;0.05;0.04;75.85
10253.23;221.74;0.05;0.03;73.91
10178.44;217.95;0.05;0.03;72.54
9997.2;215.35;0.05;0.03;73.06
10041.3;211.62;0.05;0.03;68.5
9699.5;201;0.05;0.03;59.48
8702.71;168.67;0.04;0.03;59.65
8446.24;170.29;0.04;0.03;57.28
8098.81;166.22;0.04;0.03;57.54
8183.48;173.9;0.04;0.03;57.7
8225.11;174.08;0.04;0.03;55.78
8064.38;169.69;0.04;0.03;56.74
8271.29;179.76;0.04;0.03;55.86
8366.5;180.63;0.04;0.03;55.82
8350.13;180.58;0.04;0.03;57.33
8176.35;176.86;0.04;0.03;57.24
8156.52;175.86;0.04;0.03;56.45
8140.24;176.28;0.04;0.03;54.62
7890.23;170.45;0.04;0.03;56.14
8182.25;180.14;0.04;0.03;55.49
8180.69;180.79;0.04;0.03;57.17
8573.06;193.34;0.04;0.03;55.74
8561.52;191.04;0.04;0.03;53.99
8277.85;180.55;0.04;0.03;53.65
8308.47;179.95;0.04;0.03;53.41
8289.5;181.29;0.04;0.03;52.88
8347.35;186.62;0.04;0.03;52.03
8175.86;180.75;0.04;0.03;54.83
8010.3;175.05;0.04;0.03;55.93
